PlaythroughID,RecordType,CompletionStatus,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,Completed,1,2001,S1,2026-07-28 15:54:00.077,L1_0,2026-07-28 15:54:15.206,6.000,15.140,,,,Blue L1_0,,,,
1,Path,Completed,2,7002,L1_0,2026-07-28 15:54:18.036,L2_3,2026-07-28 15:54:44.568,6.000,26.540,,,,Blue L2_3,,,,
1,Path,Completed,3,8003,L2_3,2026-07-28 15:54:50.368,E1,2026-07-28 15:55:02.333,9.000,11.960,,,,Red E1,2026-07-28 15:55:02.508,,,
1,Decision,Completed,1,Blue L1_0,,,,,,,2.640,2026-07-28 15:54:15.389,2026-07-28 15:54:18.036,,,,,
1,Decision,Completed,2,Blue L2_3,,,,,,,5.560,2026-07-28 15:54:44.815,2026-07-28 15:54:50.368,,,,,
1,Summary,Completed,,,,,,,,,,,,,,0.000,53.640,8.200
2,Path,Completed,1,2001,S1,2026-07-28 15:55:12.469,L1_0,2026-07-28 15:55:26.429,6.000,13.980,,,,Blue L1_0,,,,
2,Path,Completed,2,1002,L1_0,2026-07-28 15:55:29.470,L2_0,2026-07-28 15:55:37.034,1.000,7.560,,,,Red E0,2026-07-28 15:55:51.030,,,
2,Decision,Completed,1,Blue L1_0,,,,,,,2.860,2026-07-28 15:55:26.612,2026-07-28 15:55:29.470,,,,,
2,Decision,Completed,2,Blue L2_0,,,,,,,2.960,2026-07-28 15:55:37.228,2026-07-28 15:55:40.192,,,,,
2,Summary,Completed,,,,,,,,,,,,,,0.000,21.540,5.820
3,Path,Completed,1,3001,S1,2026-07-28 15:56:00.806,L1_1,2026-07-28 15:56:11.074,2.000,10.280,,,,Blue L1_2,,,,
3,Path,Completed,2,3002,L1_1,2026-07-28 15:56:14.058,L2_1,2026-07-28 15:56:26.250,3.000,12.200,,,,Blue L2_0,,,,
3,Path,Completed,3,7003,L2_1,2026-07-28 15:56:29.435,E1,2026-07-28 15:56:49.149,3.000,19.720,,,,Red E1,2026-07-28 15:56:49.327,,,
3,Decision,Completed,1,Blue L1_2,,,,,,,2.800,2026-07-28 15:56:11.251,2026-07-28 15:56:14.058,,,,,
3,Decision,Completed,2,Blue L2_0,,,,,,,2.980,2026-07-28 15:56:26.449,2026-07-28 15:56:29.435,,,,,
3,Summary,Completed,,,,,,,,,,,,,,0.000,42.200,5.780
4,Path,Completed,1,4001,S2,2026-07-28 15:57:02.593,L1_2,2026-07-28 15:57:10.134,6.000,7.540,,,,Blue L1_2,,,,
4,Path,Completed,2,2002,L1_2,2026-07-28 15:57:13.534,L2_0,2026-07-28 15:57:32.754,3.000,19.220,,,,Red E0,2026-07-28 15:58:00.528,,,
4,Decision,Completed,1,Blue L1_2,,,,,,,3.260,2026-07-28 15:57:10.280,2026-07-28 15:57:13.534,,,,,
4,Decision,Completed,2,Blue L2_0,,,,,,,2.860,2026-07-28 15:57:33.013,2026-07-28 15:57:35.871,,,,,
4,Summary,Completed,,,,,,,,,,,,,,0.000,26.760,6.120
