PlaythroughID,RecordType,CompletionStatus,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,Completed,1,3001,S1,59:18.5,L1_1,59:32.7,2,14.16,,,,Blue L1_2,,,,
1,Path,Completed,2,4002,L1_1,59:42.3,L2_2,59:55.6,5,13.32,,,,Blue L2_2,,,,
1,Path,Completed,3,5003,L2_2,00:02.9,E1,00:21.2,7,18.3,,,,Red E1,00:21.5,,,
1,Decision,Completed,1,Blue L1_2,,,,,,,9.48,59:32.8,59:42.3,,,,,
1,Decision,Completed,2,Blue L2_2,,,,,,,7.16,59:55.8,00:02.9,,,,,
1,Summary,Completed,,,,,,,,,,,,,,0,45.78,16.64
2,Path,Completed,1,2001,S1,00:32.7,L1_0,00:46.6,6,13.94,,,,Blue L1_0,,,,
2,Path,Completed,2,7002,L1_0,00:49.7,L2_3,01:14.4,6,24.7,,,,Blue L2_3,,,,
2,Path,Completed,3,2003,L2_3,01:20.0,E0,01:37.8,4,17.82,,,,Red E0,01:38.0,,,
2,Decision,Completed,1,Blue L1_0,,,,,,,2.88,00:46.8,00:49.7,,,,,
2,Decision,Completed,2,Blue L2_3,,,,,,,5.34,01:14.6,01:20.0,,,,,
2,Summary,Completed,,,,,,,,,,,,,,0,56.46,8.22
3,Path,Completed,1,4001,S2,01:53.3,L1_2,02:01.3,6,7.92,,,,Blue L1_2,,,,
3,Path,Completed,2,6002,L1_2,02:04.9,L2_2,02:20.2,5,15.2,,,,Blue L2_2,,,,
3,Path,Completed,3,5003,L2_2,02:23.6,E1,02:41.8,7,18.2,,,,Red E1,02:42.6,,,
3,Decision,Completed,1,Blue L1_2,,,,,,,3.56,02:01.4,02:04.9,,,,,
3,Decision,Completed,2,Blue L2_2,,,,,,,3.24,02:20.3,02:23.6,,,,,
3,Summary,Completed,,,,,,,,,,,,,,0,41.32,6.8
4,Path,Completed,1,8002,L1_3,03:22.2,L2_3,03:28.9,3,6.72,,,,Blue L2_3,,,,
4,Path,Completed,2,8003,L2_3,03:34.1,E1,03:45.7,9,11.62,,,,Red E1,03:45.9,,,
4,Decision,Completed,1,Blue L1_3,,,,,,,4.78,03:17.5,03:22.2,,,,,
4,Decision,Completed,2,Blue L2_3,,,,,,,4.92,03:29.2,03:34.1,,,,,
4,Summary,Completed,,,,,,,,,,,,,,0,18.34,9.7
5,Path,Completed,1,3001,S1,03:55.3,L1_1,04:05.4,2,10.12,,,,Blue L1_2,,,,
5,Path,Completed,2,4002,L1_1,04:09.2,L2_2,04:22.0,5,12.84,,,,Blue L2_2,,,,
5,Path,Completed,3,4003,L2_2,04:26.5,E0,04:49.4,7,22.9,,,,Red E0,04:49.5,,,
5,Decision,Completed,1,Blue L1_2,,,,,,,3.62,04:05.6,04:09.2,,,,,
5,Decision,Completed,2,Blue L2_2,,,,,,,4.36,04:22.1,04:26.5,,,,,
5,Summary,Completed,,,,,,,,,,,,,,0,45.86,7.98
6,Path,Completed,1,2001,S1,05:03.2,L1_0,05:17.3,6,14.12,,,,Blue L1_0,,,,
6,Path,Completed,2,1002,L1_0,05:21.3,L2_0,05:28.9,1,7.54,,,,Red E0,05:57.3,,,
6,Decision,Completed,1,Blue L1_0,,,,,,,3.88,05:17.5,05:21.3,,,,,
6,Decision,Completed,2,Blue L2_0,,,,,,,3.92,05:29.1,05:33.0,,,,,
6,Summary,Completed,,,,,,,,,,,,,,0,21.66,7.8
7,Path,Completed,1,2001,S1,06:06.8,L1_0,06:20.9,6,14.16,,,,Blue L1_0,,,,
