PlaythroughID,RecordType,CompletionStatus,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
7,Path,Completed,2,1002,L1_0,06:23.8,L2_0,06:31.4,1,7.56,,,,Red E0,06:44.9,,,
7,Decision,Completed,1,Blue L1_0,,,,,,,2.74,06:21.1,06:23.8,,,,,
7,Decision,Completed,2,Blue L2_0,,,,,,,2.76,06:31.6,06:34.4,,,,,
7,Summary,Completed,,,,,,,,,,,,,,0,21.72,5.5
8,Path,Completed,1,5002,L1_3,07:23.7,L2_2,07:34.0,6,10.28,,,,Blue L2_2,,,,
8,Path,Completed,2,4003,L2_2,07:37.2,E0,08:00.0,7,22.8,,,,Red E0,08:00.1,,,
8,Decision,Completed,1,Blue L1_3,,,,,,,3.44,07:20.3,07:23.7,,,,,
8,Decision,Completed,2,Blue L2_2,,,,,,,2.76,07:34.4,07:37.2,,,,,
8,Summary,Completed,,,,,,,,,,,,,,0,33.08,6.2
9,Path,Completed,1,1002,L1_0,08:27.4,L2_0,08:35.0,1,7.54,,,,Red E0,08:48.4,,,
9,Decision,Completed,1,Blue L1_0,,,,,,,4.5,08:22.9,08:27.4,,,,,
9,Decision,Completed,2,Blue L2_0,,,,,,,2.74,08:35.2,08:37.9,,,,,
9,Summary,Completed,,,,,,,,,,,,,,0,7.54,7.24
10,Path,Completed,1,1002,L1_0,09:13.2,L2_0,09:20.9,1,7.66,,,,Red E0,09:34.7,,,
10,Decision,Completed,1,Blue L1_0,,,,,,,2.5,09:10.7,09:13.2,,,,,
10,Decision,Completed,2,Blue L2_0,,,,,,,3.02,09:21.1,09:24.1,,,,,
10,Summary,Completed,,,,,,,,,,,,,,0,7.66,5.52
11,Path,Completed,1,6001,S2,09:51.0,L1_3,09:56.8,5,5.78,,,,Blue L1_3,,,,
11,Path,Completed,2,8002,L1_3,10:02.4,L2_3,10:09.1,3,6.72,,,,Blue L2_3,,,,
11,Path,Completed,3,8003,L2_3,10:14.3,E1,10:26.0,9,11.68,,,,Red E1,10:26.1,,,
11,Decision,Completed,1,Blue L1_3,,,,,,,5.42,09:57.0,10:02.4,,,,,
11,Decision,Completed,2,Blue L2_3,,,,,,,4.94,10:09.4,10:14.3,,,,,
11,Summary,Completed,,,,,,,,,,,,,,0,24.18,10.36
12,Path,Completed,1,6001,S2,10:40.9,L1_3,10:46.7,5,5.78,,,,Blue L1_3,,,,
12,Path,Completed,2,8002,L1_3,10:52.0,L2_3,10:58.7,3,6.72,,,,Blue L2_3,,,,
12,Path,Completed,3,8003,L2_3,11:03.8,E1,11:15.4,9,11.64,,,,Red E1,11:15.6,,,
12,Decision,Completed,1,Blue L1_3,,,,,,,5.22,10:46.8,10:52.0,,,,,
12,Decision,Completed,2,Blue L2_3,,,,,,,4.76,10:59.0,11:03.8,,,,,
12,Summary,Completed,,,,,,,,,,,,,,0,24.14,9.98
13,Path,Completed,1,4001,S2,11:30.8,L1_2,11:38.3,6,7.54,,,,Blue L1_2,,,,
13,Path,Completed,2,2002,L1_2,11:41.7,L2_0,12:01.3,3,19.5,,,,Red E0,12:14.8,,,
13,Decision,Completed,1,Blue L1_2,,,,,,,3.3,11:38.4,11:41.7,,,,,
13,Decision,Completed,2,Blue L2_0,,,,,,,2.86,12:01.4,12:04.3,,,,,
13,Summary,Completed,,,,,,,,,,,,,,0,27.04,6.16
14,Path,Completed,1,1002,L1_0,12:40.8,L2_0,12:48.4,1,7.54,,,,Red E0,13:01.9,,,
14,Decision,Completed,1,Blue L1_0,,,,,,,2.52,12:38.3,12:40.8,,,,,
14,Decision,Completed,2,Blue L2_0,,,,,,,2.78,12:48.6,12:51.3,,,,,
14,Summary,Completed,,,,,,,,,,,,,,0,7.54,5.3
