PlaythroughID,RecordType,CompletionStatus,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,Completed,1,3001,S1,2026-07-28 14:21:07.792,L1_1,2026-07-28 14:21:17.845,2.000,10.060,,,,Blue L1_2,,,,
1,Path,Completed,2,4002,L1_1,2026-07-28 14:21:21.155,L2_2,2026-07-28 14:21:33.261,5.000,12.100,,,,Blue L2_2,,,,
1,Path,Completed,3,5003,L2_2,2026-07-28 14:21:36.737,E1,2026-07-28 14:21:54.881,7.000,18.140,,,,Red E1,2026-07-28 14:21:55.474,,,
1,Decision,Completed,1,Blue L1_2,,,,,,,3.160,2026-07-28 14:21:18.007,2026-07-28 14:21:21.155,,,,,
1,Decision,Completed,2,Blue L2_2,,,,,,,3.360,2026-07-28 14:21:33.379,2026-07-28 14:21:36.737,,,,,
1,Summary,Completed,,,,,,,,,,,,,,0.000,40.300,6.520
2,Path,Completed,1,3001,S1,2026-07-28 14:22:07.174,L1_1,2026-07-28 14:22:18.228,2.000,11.060,,,,Blue L1_2,,,,
2,Path,Completed,2,3002,L1_1,2026-07-28 14:22:26.363,L2_1,2026-07-28 14:22:38.861,3.000,12.500,,,,Blue L2_0,,,,
2,Path,Completed,3,3003,L2_1,2026-07-28 14:22:44.124,E0,2026-07-28 14:22:58.996,3.000,14.880,,,,Red E0,2026-07-28 14:22:59.259,,,
2,Decision,Completed,1,Blue L1_2,,,,,,,7.960,2026-07-28 14:22:18.400,2026-07-28 14:22:26.363,,,,,
2,Decision,Completed,2,Blue L2_0,,,,,,,5.040,2026-07-28 14:22:39.082,2026-07-28 14:22:44.124,,,,,
2,Summary,Completed,,,,,,,,,,,,,,0.000,38.440,13.000
3,Path,Completed,1,2001,S1,2026-07-28 14:23:08.543,L1_0,2026-07-28 14:23:22.361,6.000,13.820,,,,Blue L1_0,,,,
3,Path,Completed,2,7002,L1_0,2026-07-28 14:23:25.021,L2_3,2026-07-28 14:23:50.297,6.000,25.280,,,,Blue L2_3,,,,
3,Path,Completed,3,8003,L2_3,2026-07-28 14:23:57.321,E1,2026-07-28 14:24:09.034,9.000,11.720,,,,Red E1,2026-07-28 14:24:09.218,,,
3,Decision,Completed,1,Blue L1_0,,,,,,,2.500,2026-07-28 14:23:22.517,2026-07-28 14:23:25.021,,,,,
3,Decision,Completed,2,Blue L2_3,,,,,,,6.780,2026-07-28 14:23:50.540,2026-07-28 14:23:57.321,,,,,
3,Summary,Completed,,,,,,,,,,,,,,0.000,50.820,9.280
4,Path,Completed,1,5002,L1_3,2026-07-28 14:24:52.708,L2_2,2026-07-28 14:25:02.857,6.000,10.160,,,,Blue L2_2,,,,
4,Path,Completed,2,4003,L2_2,2026-07-28 14:25:05.919,E0,2026-07-28 14:25:28.735,7.000,22.820,,,,Red E0,2026-07-28 14:25:28.854,,,
4,Decision,Completed,1,Blue L1_3,,,,,,,8.300,2026-07-28 14:24:44.405,2026-07-28 14:24:52.708,,,,,
4,Decision,Completed,2,Blue L2_2,,,,,,,2.680,2026-07-28 14:25:03.234,2026-07-28 14:25:05.919,,,,,
4,Summary,Completed,,,,,,,,,,,,,,0.000,32.980,10.980
5,Path,Completed,1,4001,S2,2026-07-28 14:27:51.472,L1_2,2026-07-28 14:27:59.278,6.000,7.820,,,,Blue L1_2,,,,
5,Path,Completed,2,2002,L1_2,2026-07-28 14:28:02.487,L2_0,2026-07-28 14:28:21.618,3.000,19.140,,,,Red E0,2026-07-28 14:28:49.515,,,
5,Decision,Completed,1,Blue L1_2,,,,,,,3.080,2026-07-28 14:27:59.395,2026-07-28 14:28:02.487,,,,,
5,Decision,Completed,2,Blue L2_0,,,,,,,2.800,2026-07-28 14:28:21.816,2026-07-28 14:28:24.614,,,,,
5,Summary,Completed,,,,,,,,,,,,,,0.000,26.960,5.880
6,Path,Completed,1,2001,S1,2026-07-28 14:28:58.451,L1_0,2026-07-28 14:29:12.335,6.000,13.900,,,,Blue L1_0,,,,
6,Path,Completed,2,1002,L1_0,2026-07-28 14:29:15.121,L2_0,2026-07-28 14:29:22.675,1.000,7.560,,,,Red E0,2026-07-28 14:29:36.554,,,
6,Decision,Completed,1,Blue L1_0,,,,,,,2.600,2026-07-28 14:29:12.517,2026-07-28 14:29:15.121,,,,,
6,Decision,Completed,2,Blue L2_0,,,,,,,2.960,2026-07-28 14:29:22.882,2026-07-28 14:29:25.835,,,,,
6,Summary,Completed,,,,,,,,,,,,,,0.000,21.460,5.560
7,Path,Completed,1,5002,L1_3,2026-07-28 14:30:14.381,L2_2,2026-07-28 14:30:24.665,6.000,10.280,,,,Blue L2_2,,,,
7,Path,Completed,2,5003,L2_2,2026-07-28 14:30:28.274,E1,2026-07-28 14:30:46.079,7.000,17.800,,,,Red E1,2026-07-28 14:30:46.417,,,
7,Decision,Completed,1,Blue L1_3,,,,,,,3.280,2026-07-28 14:30:11.107,2026-07-28 14:30:14.381,,,,,
7,Decision,Completed,2,Blue L2_2,,,,,,,3.240,2026-07-28 14:30:25.045,2026-07-28 14:30:28.274,,,,,
7,Summary,Completed,,,,,,,,,,,,,,0.000,28.080,6.520
8,Path,Completed,1,1002,L1_0,2026-07-28 14:31:10.658,L2_0,2026-07-28 14:31:18.194,1.000,7.540,,,,Red E0,2026-07-28 14:31:32.239,,,
8,Decision,Completed,1,Blue L1_0,,,,,,,2.540,2026-07-28 14:31:08.118,2026-07-28 14:31:10.658,,,,,
8,Decision,Completed,2,Blue L2_0,,,,,,,2.760,2026-07-28 14:31:18.395,2026-07-28 14:31:21.160,,,,,
8,Summary,Completed,,,,,,,,,,,,,,0.000,7.540,5.300
