PlaythroughID,RecordType,CompletionStatus,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,Completed,1,3001,S1,2026-07-28 14:54:51.334,L1_1,2026-07-28 14:55:13.609,2.000,22.280,,,,Blue L1_2,,,,
1,Path,Completed,2,4002,L1_1,2026-07-28 14:55:18.542,L2_2,2026-07-28 14:55:32.725,5.000,14.180,,,,Blue L2_2,,,,
1,Path,Completed,3,4003,L2_2,2026-07-28 14:55:40.380,E0,2026-07-28 14:56:16.438,7.000,25.200,,,,Red E0,2026-07-28 14:56:16.581,,,
1,Decision,Completed,1,Blue L1_2,,,,,,,4.600,2026-07-28 14:55:13.945,2026-07-28 14:55:18.542,,,,,
1,Decision,Completed,2,Blue L2_2,,,,,,,7.540,2026-07-28 14:55:32.842,2026-07-28 14:55:40.380,,,,,
1,Summary,Completed,,,,,,,,,,,,,,0.000,61.660,12.140
2,Path,Completed,1,2001,S1,2026-07-28 14:56:25.978,L1_0,2026-07-28 14:56:39.872,6.000,13.900,,,,Blue L1_0,,,,
2,Path,Completed,2,1002,L1_0,2026-07-28 14:56:43.240,L2_0,2026-07-28 14:56:50.827,1.000,7.580,,,,Red E0,2026-07-28 14:57:20.179,,,
2,Decision,Completed,1,Blue L1_0,,,,,,,3.200,2026-07-28 14:56:40.041,2026-07-28 14:56:43.240,,,,,
2,Decision,Completed,2,Blue L2_0,,,,,,,2.860,2026-07-28 14:56:51.045,2026-07-28 14:56:53.900,,,,,
2,Summary,Completed,,,,,,,,,,,,,,0.000,21.480,6.060
3,Path,Completed,1,3001,S1,2026-07-28 14:57:40.662,L1_1,2026-07-28 14:57:50.932,2.000,10.280,,,,Blue L1_2,,,,
3,Path,Completed,2,4002,L1_1,2026-07-28 14:57:53.791,L2_2,2026-07-28 14:58:05.732,5.000,11.940,,,,Blue L2_2,,,,
3,Path,Completed,3,5003,L2_2,2026-07-28 14:58:09.179,E1,2026-07-28 14:58:27.054,7.000,17.880,,,,Red E1,2026-07-28 14:58:27.390,,,
3,Decision,Completed,1,Blue L1_2,,,,,,,2.680,2026-07-28 14:57:51.115,2026-07-28 14:57:53.791,,,,,
3,Decision,Completed,2,Blue L2_2,,,,,,,3.320,2026-07-28 14:58:05.853,2026-07-28 14:58:09.179,,,,,
3,Summary,Completed,,,,,,,,,,,,,,0.000,40.100,6.000
4,Path,Completed,1,2001,S1,2026-07-28 14:59:42.350,L1_0,2026-07-28 14:59:56.615,6.000,14.260,,,,Blue L1_0,,,,
4,Path,Completed,2,1002,L1_0,2026-07-28 15:00:00.349,L2_0,2026-07-28 15:00:08.072,1.000,7.720,,,,Red E0,2026-07-28 15:00:22.926,,,
4,Decision,Completed,1,Blue L1_0,,,,,,,3.560,2026-07-28 14:59:56.792,2026-07-28 15:00:00.349,,,,,
4,Decision,Completed,2,Blue L2_0,,,,,,,3.500,2026-07-28 15:00:08.307,2026-07-28 15:00:11.810,,,,,
4,Summary,Completed,,,,,,,,,,,,,,0.000,21.980,7.060
