PlaythroughID,RecordType,CompletionStatus,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,Completed,1,7002,L1_0,2026-07-27 12:04:40.655,L2_3,2026-07-27 12:05:11.989,6.000,31.340,,,,Blue L2_3,,,,
1,Path,Completed,2,2003,L2_3,2026-07-27 12:05:16.991,E0,2026-07-27 12:05:50.519,4.000,33.520,,,,Red E0,2026-07-27 12:05:50.755,,,
1,Decision,Completed,1,Blue L1_0,,,,,,,14.540,2026-07-27 12:04:26.124,2026-07-27 12:04:40.655,,,,,
1,Decision,Completed,2,Blue L2_3,,,,,,,4.740,2026-07-27 12:05:12.251,2026-07-27 12:05:16.991,,,,,
1,Summary,Completed,,,,,,,,,,,,,,0.000,64.860,19.280
2,Path,Completed,1,3001,S1,2026-07-27 12:07:20.734,L1_1,2026-07-27 12:07:32.643,2.000,11.900,,,,Blue L1_2,,,,
2,Path,Completed,2,3002,L1_1,2026-07-27 12:07:49.710,L2_1,2026-07-27 12:08:02.774,3.000,13.060,,,,Blue L2_0,,,,
2,Path,Completed,3,3003,L2_1,2026-07-27 12:08:11.687,E0,2026-07-27 12:08:28.651,3.000,16.960,,,,Red E0,2026-07-27 12:08:28.891,,,
2,Decision,Completed,1,Blue L1_2,,,,,,,16.920,2026-07-27 12:07:32.796,2026-07-27 12:07:49.710,,,,,
2,Decision,Completed,2,Blue L2_0,,,,,,,8.720,2026-07-27 12:08:02.968,2026-07-27 12:08:11.687,,,,,
2,Summary,Completed,,,,,,,,,,,,,,0.000,41.920,25.640
3,Path,Completed,1,3001,S1,2026-07-27 12:08:52.494,L1_1,2026-07-27 12:09:02.866,2.000,10.360,,,,Blue L1_2,,,,
3,Path,Completed,2,3002,L1_1,2026-07-27 12:09:06.340,L2_1,2026-07-27 12:09:18.740,3.000,12.400,,,,Blue L2_0,,,,
3,Path,Completed,3,7003,L2_1,2026-07-27 12:09:21.939,E1,2026-07-27 12:09:44.831,3.000,22.900,,,,Red E1,2026-07-27 12:09:44.989,,,
3,Decision,Completed,1,Blue L1_2,,,,,,,3.300,2026-07-27 12:09:03.039,2026-07-27 12:09:06.340,,,,,
3,Decision,Completed,2,Blue L2_0,,,,,,,3.000,2026-07-27 12:09:18.929,2026-07-27 12:09:21.939,,,,,
3,Summary,Completed,,,,,,,,,,,,,,0.000,45.660,6.300
4,Path,Completed,1,2001,S1,2026-07-27 12:09:55.331,L1_0,2026-07-27 12:10:10.170,6.000,14.840,,,,Blue L1_0,,,,
4,Path,Completed,2,7002,L1_0,2026-07-27 12:10:12.827,L2_3,2026-07-27 12:10:42.172,6.000,29.340,,,,Blue L2_3,,,,
4,Path,Completed,3,8003,L2_3,2026-07-27 12:10:48.314,E1,2026-07-27 12:11:00.829,9.000,12.520,,,,Red E1,2026-07-27 12:11:01.011,,,
4,Decision,Completed,1,Blue L1_0,,,,,,,2.480,2026-07-27 12:10:10.350,2026-07-27 12:10:12.827,,,,,
4,Decision,Completed,2,Blue L2_3,,,,,,,5.900,2026-07-27 12:10:42.407,2026-07-27 12:10:48.314,,,,,
4,Summary,Completed,,,,,,,,,,,,,,0.000,56.700,8.380
5,Path,Completed,1,4001,S2,2026-07-27 12:11:26.268,L1_2,2026-07-27 12:11:33.880,6.000,7.600,,,,Blue L1_2,,,,
5,Path,Completed,2,6002,L1_2,2026-07-27 12:11:36.766,L2_2,2026-07-27 12:11:53.322,5.000,16.540,,,,Blue L2_2,,,,
5,Path,Completed,3,5003,L2_2,2026-07-27 12:11:56.241,E1,2026-07-27 12:12:15.167,7.000,18.940,,,,Red E1,2026-07-27 12:12:16.968,,,
5,Decision,Completed,1,Blue L1_2,,,,,,,2.760,2026-07-27 12:11:34.008,2026-07-27 12:11:36.766,,,,,
5,Decision,Completed,2,Blue L2_2,,,,,,,2.700,2026-07-27 12:11:53.528,2026-07-27 12:11:56.241,,,,,
5,Summary,Completed,,,,,,,,,,,,,,0.000,43.080,5.460
6,Path,Completed,1,1002,L1_0,2026-07-27 12:12:47.076,L2_0,2026-07-27 12:12:54.617,1.000,7.540,,,,Red E0,2026-07-27 12:13:08.265,,,
6,Decision,Completed,1,Blue L1_0,,,,,,,2.500,2026-07-27 12:12:44.568,2026-07-27 12:12:47.076,,,,,
6,Decision,Completed,2,Blue L2_0,,,,,,,2.740,2026-07-27 12:12:54.826,2026-07-27 12:12:57.570,,,,,
6,Summary,Completed,,,,,,,,,,,,,,0.000,7.540,5.240
