PlaythroughID,RecordType,CompletionStatus,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,Completed,1,3001,S1,2026-07-28 14:48:01.993,L1_1,2026-07-28 14:48:17.381,2.000,15.380,,,,Blue L1_2,,,,
1,Path,Completed,2,4002,L1_1,2026-07-28 14:48:30.427,L2_2,2026-07-28 14:48:42.313,5.000,11.900,,,,Blue L2_2,,,,
1,Path,Completed,3,4003,L2_2,2026-07-28 14:48:46.318,E0,2026-07-28 14:49:08.890,7.000,22.580,,,,Red E0,2026-07-28 14:49:09.009,,,
1,Decision,Completed,1,Blue L1_2,,,,,,,10.140,2026-07-28 14:48:20.281,2026-07-28 14:48:30.427,,,,,
1,Decision,Completed,2,Blue L2_2,,,,,,,3.860,2026-07-28 14:48:42.450,2026-07-28 14:48:46.318,,,,,
1,Summary,Completed,,,,,,,,,,,,,,0.000,49.860,14.000
2,Path,Completed,1,2001,S1,2026-07-28 14:49:57.669,L1_0,2026-07-28 14:50:11.544,6.000,13.880,,,,Blue L1_0,,,,
2,Path,Completed,2,7002,L1_0,2026-07-28 14:50:14.238,L2_3,2026-07-28 14:50:39.121,6.000,24.880,,,,Blue L2_3,,,,
2,Path,Completed,3,8003,L2_3,2026-07-28 14:50:44.677,E1,2026-07-28 14:50:57.517,9.000,12.840,,,,Red E1,2026-07-28 14:50:57.695,,,
2,Decision,Completed,1,Blue L1_0,,,,,,,2.520,2026-07-28 14:50:11.729,2026-07-28 14:50:14.238,,,,,
2,Decision,Completed,2,Blue L2_3,,,,,,,5.300,2026-07-28 14:50:39.385,2026-07-28 14:50:44.677,,,,,
2,Summary,Completed,,,,,,,,,,,,,,0.000,51.600,7.820
3,Path,Completed,1,2001,S1,2026-07-28 14:51:06.559,L1_0,2026-07-28 14:51:20.836,6.000,14.280,,,,Blue L1_0,,,,
3,Path,Completed,2,1002,L1_0,2026-07-28 14:51:23.623,L2_0,2026-07-28 14:51:31.176,1.000,7.560,,,,Red E0,2026-07-28 14:52:00.417,,,
3,Decision,Completed,1,Blue L1_0,,,,,,,2.600,2026-07-28 14:51:21.019,2026-07-28 14:51:23.623,,,,,
3,Decision,Completed,2,Blue L2_0,,,,,,,2.840,2026-07-28 14:51:31.399,2026-07-28 14:51:34.237,,,,,
3,Summary,Completed,,,,,,,,,,,,,,0.000,21.840,5.440
4,Path,Completed,1,1002,L1_0,2026-07-28 14:52:27.556,L2_0,2026-07-28 14:52:35.119,1.000,7.560,,,,Red E0,2026-07-28 14:52:48.875,,,
4,Decision,Completed,1,Blue L1_0,,,,,,,3.380,2026-07-28 14:52:24.177,2026-07-28 14:52:27.556,,,,,
4,Decision,Completed,2,Blue L2_0,,,,,,,3.080,2026-07-28 14:52:35.320,2026-07-28 14:52:38.397,,,,,
4,Summary,Completed,,,,,,,,,,,,,,0.000,7.560,6.460
