PlaythroughID,RecordType,CompletionStatus,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,Completed,1,2001,S1,2026-07-26 11:46:52.106,L1_0,2026-07-26 11:47:06.053,6.000,13.940,,,,Blue L1_0,,,,
1,Path,Completed,2,1002,L1_0,2026-07-26 11:47:08.950,L2_0,2026-07-26 11:47:16.705,1.000,7.760,,,,Red E0,2026-07-26 11:47:45.080,,,
1,Decision,Completed,1,Blue L1_0,,,,,,,2.740,2026-07-26 11:47:06.201,2026-07-26 11:47:08.950,,,,,
1,Decision,Completed,2,Blue L2_0,,,,,,,3.080,2026-07-26 11:47:16.926,2026-07-26 11:47:20.001,,,,,
1,Summary,Completed,,,,,,,,,,,,,,0.000,21.700,5.820
2,Path,Completed,1,3001,S1,2026-07-26 11:47:53.994,L1_1,2026-07-26 11:48:04.245,2.000,10.260,,,,Blue L1_2,,,,
2,Path,Completed,2,4002,L1_1,2026-07-26 11:48:07.229,L2_2,2026-07-26 11:48:19.302,5.000,12.080,,,,Blue L2_2,,,,
2,Path,Completed,3,5003,L2_2,2026-07-26 11:48:22.721,E1,2026-07-26 11:48:41.304,7.000,18.580,,,,Red E1,2026-07-26 11:48:41.520,,,
2,Decision,Completed,1,Blue L1_2,,,,,,,2.820,2026-07-26 11:48:04.410,2026-07-26 11:48:07.229,,,,,
2,Decision,Completed,2,Blue L2_2,,,,,,,3.280,2026-07-26 11:48:19.448,2026-07-26 11:48:22.721,,,,,
2,Summary,Completed,,,,,,,,,,,,,,0.000,40.920,6.100
3,Path,Completed,1,4001,S2,2026-07-26 11:48:55.053,L1_2,2026-07-26 11:49:02.680,6.000,7.640,,,,Blue L1_2,,,,
3,Path,Completed,2,6002,L1_2,2026-07-26 11:49:05.486,L2_2,2026-07-26 11:49:20.769,5.000,15.280,,,,Blue L2_2,,,,
3,Path,Completed,3,4003,L2_2,2026-07-26 11:49:24.205,E0,2026-07-26 11:49:47.261,7.000,23.060,,,,Red E0,2026-07-26 11:49:47.402,,,
3,Decision,Completed,1,Blue L1_2,,,,,,,2.680,2026-07-26 11:49:02.811,2026-07-26 11:49:05.486,,,,,
3,Decision,Completed,2,Blue L2_2,,,,,,,3.240,2026-07-26 11:49:20.962,2026-07-26 11:49:24.205,,,,,
3,Summary,Completed,,,,,,,,,,,,,,0.000,45.980,5.920
4,Path,Completed,1,2001,S1,2026-07-26 11:49:56.477,L1_0,2026-07-26 11:50:10.383,6.000,13.920,,,,Blue L1_0,,,,
4,Path,Completed,2,7002,L1_0,2026-07-26 11:50:13.071,L2_3,2026-07-26 11:50:37.686,6.000,24.620,,,,Blue L2_3,,,,
4,Path,Completed,3,2003,L2_3,2026-07-26 11:50:42.601,E0,2026-07-26 11:51:00.523,4.000,17.920,,,,Red E0,2026-07-26 11:51:00.719,,,
4,Decision,Completed,1,Blue L1_0,,,,,,,2.500,2026-07-26 11:50:10.567,2026-07-26 11:50:13.071,,,,,
4,Decision,Completed,2,Blue L2_3,,,,,,,4.680,2026-07-26 11:50:37.924,2026-07-26 11:50:42.601,,,,,
4,Summary,Completed,,,,,,,,,,,,,,0.000,56.460,7.180
5,Path,Completed,1,5002,L1_3,2026-07-26 11:51:39.133,L2_2,2026-07-26 11:51:49.667,6.000,10.540,,,,Blue L2_2,,,,
5,Path,Completed,2,5003,L2_2,2026-07-26 11:51:52.980,E1,2026-07-26 11:52:11.062,7.000,18.080,,,,Red E1,2026-07-26 11:52:11.300,,,
5,Decision,Completed,1,Blue L1_3,,,,,,,3.340,2026-07-26 11:51:35.781,2026-07-26 11:51:39.133,,,,,
5,Decision,Completed,2,Blue L2_2,,,,,,,2.940,2026-07-26 11:51:50.046,2026-07-26 11:51:52.980,,,,,
5,Summary,Completed,,,,,,,,,,,,,,0.000,28.620,6.280
6,Path,Completed,1,1002,L1_0,2026-07-26 11:52:35.463,L2_0,2026-07-26 11:52:43.002,1.000,7.540,,,,Red E0,2026-07-26 11:52:57.118,,,
6,Decision,Completed,1,Blue L1_0,,,,,,,2.520,2026-07-26 11:52:32.942,2026-07-26 11:52:35.463,,,,,
6,Decision,Completed,2,Blue L2_0,,,,,,,2.860,2026-07-26 11:52:43.205,2026-07-26 11:52:46.062,,,,,
6,Summary,Completed,,,,,,,,,,,,,,0.000,7.540,5.380
7,Path,Completed,1,4001,S2,2026-07-26 11:53:51.976,L1_2,2026-07-26 11:53:59.545,6.000,7.580,,,,Blue L1_2,,,,
7,Path,Completed,2,2002,L1_2,2026-07-26 11:54:02.933,L2_0,2026-07-26 11:54:22.725,3.000,19.800,,,,Red E0,2026-07-26 11:54:36.360,,,
7,Decision,Completed,1,Blue L1_2,,,,,,,3.260,2026-07-26 11:53:59.662,2026-07-26 11:54:02.933,,,,,
7,Decision,Completed,2,Blue L2_0,,,,,,,2.880,2026-07-26 11:54:22.940,2026-07-26 11:54:25.824,,,,,
7,Summary,Completed,,,,,,,,,,,,,,0.000,27.380,6.140
8,Path,Completed,1,6001,S2,2026-07-26 11:54:51.760,L1_3,2026-07-26 11:54:57.550,5.000,5.800,,,,Blue L1_3,,,,
8,Path,Completed,2,8002,L1_3,2026-07-26 11:55:03.025,L2_3,2026-07-26 11:55:09.747,3.000,6.720,,,,Blue L2_3,,,,
8,Path,Completed,3,8003,L2_3,2026-07-26 11:55:14.920,E1,2026-07-26 11:55:26.740,9.000,11.820,,,,Red E1,2026-07-26 11:55:26.900,,,
8,Decision,Completed,1,Blue L1_3,,,,,,,5.340,2026-07-26 11:54:57.686,2026-07-26 11:55:03.025,,,,,
8,Decision,Completed,2,Blue L2_3,,,,,,,4.920,2026-07-26 11:55:10.001,2026-07-26 11:55:14.920,,,,,
8,Summary,Completed,,,,,,,,,,,,,,0.000,24.340,10.260
9,Path,Incomplete,1,2001,S1,2026-07-26 11:55:37.070,L1_0,2026-07-26 11:55:51.001,6.000,13.940,,,,Blue L1_0,,,,
9,Decision,Incomplete,1,Blue L1_0,,,,,,,2.520,2026-07-26 11:55:51.160,2026-07-26 11:55:53.687,,,,,
9,Summary,Incomplete,,,,,,,,,,,,,,0.000,13.940,2.520
