PlaythroughID,RecordType,CompletionStatus,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,Completed,1,3001,S1,2026-07-27 11:03:29.568,L1_1,2026-07-27 11:03:48.277,2.000,18.720,,,,Blue L1_2,,,,
1,Path,Completed,2,4002,L1_1,2026-07-27 11:03:58.769,L2_2,2026-07-27 11:04:28.872,5.000,30.100,,,,Blue L2_2,,,,
1,Path,Completed,3,4003,L2_2,2026-07-27 11:04:37.100,E0,2026-07-27 11:05:03.365,7.000,26.220,,,,Red E0,2026-07-27 11:05:03.505,,,
1,Decision,Completed,1,Blue L1_2,,,,,,,8.980,2026-07-27 11:03:48.418,2026-07-27 11:03:58.769,,,,,
1,Decision,Completed,2,Blue L2_2,,,,,,,8.100,2026-07-27 11:04:28.994,2026-07-27 11:04:37.100,,,,,
1,Summary,Completed,,,,,,,,,,,,,,0.000,75.040,17.080
2,Path,Completed,1,8002,L1_3,2026-07-27 11:06:12.956,L2_3,2026-07-27 11:06:19.650,3.000,6.700,,,,Blue L2_3,,,,
2,Path,Completed,2,8003,L2_3,2026-07-27 11:06:25.287,E1,2026-07-27 11:06:39.889,9.000,14.600,,,,Red E1,2026-07-27 11:06:40.081,,,
2,Decision,Completed,1,Blue L1_3,,,,,,,14.660,2026-07-27 11:05:58.307,2026-07-27 11:06:12.956,,,,,
2,Decision,Completed,2,Blue L2_3,,,,,,,5.380,2026-07-27 11:06:19.911,2026-07-27 11:06:25.287,,,,,
2,Summary,Completed,,,,,,,,,,,,,,0.000,21.300,20.040
3,Path,Completed,1,4001,S2,2026-07-27 11:07:02.020,L1_2,2026-07-27 11:07:11.907,6.000,10.020,,,,Blue L1_2,,,,
3,Path,Completed,2,6002,L1_2,2026-07-27 11:07:14.996,L2_2,2026-07-27 11:07:35.456,5.000,20.360,,,,Blue L2_2,,,,
3,Path,Completed,3,5003,L2_2,2026-07-27 11:07:38.446,E1,2026-07-27 11:08:03.399,7.000,24.780,,,,Red E1,2026-07-27 11:08:04.088,,,
3,Decision,Completed,1,Blue L1_2,,,,,,,2.900,2026-07-27 11:07:12.021,2026-07-27 11:07:14.996,,,,,
3,Decision,Completed,2,Blue L2_2,,,,,,,2.820,2026-07-27 11:07:35.735,2026-07-27 11:07:38.446,,,,,
3,Summary,Completed,,,,,,,,,,,,,,0.000,55.160,5.720
4,Path,Completed,1,2001,S1,2026-07-27 11:08:31.741,L1_0,2026-07-27 11:08:47.180,6.000,15.580,,,,Blue L1_0,,,,
4,Path,Completed,2,7002,L1_0,2026-07-27 11:08:49.854,L2_3,2026-07-27 11:09:17.903,6.000,28.060,,,,Blue L2_3,,,,
4,Path,Completed,3,2003,L2_3,2026-07-27 11:09:22.783,E0,2026-07-27 11:09:41.951,4.000,19.120,,,,Red E0,2026-07-27 11:09:42.148,,,
4,Decision,Completed,1,Blue L1_0,,,,,,,2.500,2026-07-27 11:08:47.350,2026-07-27 11:08:49.854,,,,,
4,Decision,Completed,2,Blue L2_3,,,,,,,4.720,2026-07-27 11:09:18.146,2026-07-27 11:09:22.783,,,,,
4,Summary,Completed,,,,,,,,,,,,,,0.000,62.760,7.220
